n,query,,answer,source
71,How to conduct polls in Google Meet,I want to make polls in Google Meet,"In a meeting, click Activities (top-right corner) > Polls > Start a poll > Enter questions and add options > Launch (to post your poll) or Save (to post it later)",https://support.google.com/meet/answer/10165071?co=GENIE.Platform%3DDesktop&hl=en
72,How to show poll results in Google Meet,I want to show poll results in Google Meet,"In a meeting, click Activities (top-right corner) > Polls > Switch on Show everyone the results",https://support.google.com/meet/answer/10165071?co=GENIE.Platform%3DDesktop&hl=en
73,How to close a poll in Google Meet,I want to close a poll in Google Meet,"In a meeting, click Activities (top-right corner) > Polls > End the poll",https://support.google.com/meet/answer/10165071?co=GENIE.Platform%3DDesktop&hl=en
74,How to view poll results later in Google Meet,I want to view poll results after meeting in Google Meet,"After a meeting, the moderator is emailed a report for any polls conducted in the meeting. The report includes the names and answers of the meeting participants. Open the poll report email and click the report attachment.",https://support.google.com/meet/answer/10165071?co=GENIE.Platform%3DDesktop&hl=en
75,How to find a meeting time that works for everyone,I want to find the best meeting time,"Suggested times feature: In Google Calendar, create a new event, or open an existing event  > Add guests (if you haven’t already done so) and then click Suggested times > Choose a time in the resulting list. Find a time feature (If the other guests have shared their calendar with you): In Google Calendar, create a new event, or open an existing event > Add guests (if you haven’t already done so) and then click the tab Find a time > Use the arrows at the top to navigate between days > Once you have found a time, click the area within the calendar grid > Save",https://uca.edu/it/knowledgebase-legacy/google-calendar-finding-a-meeting-time-when-all-attendees-are-available/
76,Does Google Meet have filters,Where can I apply filters in Google Meet?,"No, but if you still want filters, you can download Snap Camera at https://yourstack.com/products/TheSnapCamera. Before your next Google Meet call, go to Settings > Video > and change the source to Snap Camera.",https://yourstack.com/pro-tips/279-how-to-use-face-filters-on-google-meet
77,How to attach files in Google Meet,I want to send files in Google Meet,"In a Meet video call, in the lower-left corner, click the meeting name > Attachments, then select the files ",https://support.google.com/meet/answer/7290353?co=GENIE.Platform%3DDesktop&hl=en
78,Does Google Meet have breakout rooms,I want to have breakout rooms in Google Meet,"Yes. In a Meet video call, click Activites in the top right > Breakout rooms. Choose a number of breakout rooms (up to 100). To manually move people into different rooms, you can one of the followings: (1) Enter the participant’s name directly into a breakout room, (2) Click the participant’s name. Hold down the mouse, drag the name, and then drop it into another breakout room (3)To randomly mix up the groups again, click Shuffle. Click Open rooms to finish. ",https://support.google.com/meet/answer/10099500?hl=en
79,How can I raise hands in Google Meet,I want to raise hands in Google Meet,Scroll to the bottom of the screen and then click Hand raise ,https://support.google.com/meet/answer/10159750?co=GENIE.Platform%3DDesktop&hl=en
80,How many people can a Google Meet meeting have,I want to know the max number of people in a Google Meet meeting,100 participants,"https://apps.google.com/intl/en/meet/#:~:text=Anyone%20with%20a%20Google%20Account,controls%2C%20see%20plans%20and%20pricing."
81,How to share screen in Google Meet,I want to share my screen in Google Meet,"In a Meet video call, on the bottom, select Present now. Select Your entire screen, A window, or A tab. Select Share",https://support.google.com/meet/answer/9308856?co=GENIE.Platform%3DDesktop&hl=en
82,Can many people share screens at the same time in Google Meet,I want to share my screen at the same time as someone else,Only one person may share their screen at a time,https://it.umn.edu/services-technologies/how-tos/compare-zoom-google-hangouts-meet#:~:text=Only%20one%20person%20may%20share%20their%20screen%20at%20a%20time.
83,How to record a meeting in Google Meet,I want to record my Google Meet meeting,"In a meeting, click More (three vertical dots) > Record meeting. Wait for the recording to start.",https://support.google.com/a/users/answer/9846751?hl=en
84,What are the differences between Zoom and Google Meet,Compare Zoom and Google Meet,"The basic plans of both platforms are free, can handle up to 100 people in a meeting, and with only 1 host. Maximum time of a Zoom meeting is 40 min, while that of Google Meet is 60 min.",https://www.businessinsider.com/google-meet-vs-zoom#feature-comparison
85,How to annotate in Zoom,I want to draw or annotate in Zoom,"Sign into Zoom web portal and go to the Settings tab. For a single account, in navigation, click Account Management > Account Settings (for a single account); for a group of users, in navigation, clickUser Management > Group Management, choose the group name, then click the Settings tab. Then click Meeting tab > under In Meeting (basic), enable Annotation. If a verification dialog displays, click Turn On to verify the change.",https://support.zoom.us/hc/en-us/articles/115005706806-Using-annotation-tools-on-a-shared-screen-or-whiteboard
86,How to join a Zoom meeting from web browser,I don't want to download Zoom,"Sign into Zoom web portal and go to the Settings tab. For a single account, in navigation, click Account Management > Account Settings (for a single account); for a group of users, in navigation, clickUser Management > Group Management, choose the group name, then click the Settings tab. Click Meeting tab >  enable Show a ""Join from your browser"" Link. If a verification dialog displays, choose Turn On to verify the change.",https://support.zoom.us/hc/en-us/articles/115005666383-Show-a-Join-from-your-browser-Link
87,Can I attend multiple Google Meet,I want to join many Google Meet meetings,"Yes, you should be able to join multiple meetings at the same time. I would expect the main limitation would be your computer's processing power and your bandwidth. ",https://support.google.com/meet/thread/36966039/can-i-open-several-meetings-at-the-same-time?hl=en
88,How to automatically mute myself in Google Meet,I don't want to use my mic in Google Meet,"Before you join any meeting on Google Meet, you might have noticed a ‘Join Screen’ which checks for your Mic and Cam before joining. But if we are already disabling Mic and Camera by default, there is no point in keeping the ‘Join Screen’ as well. You can do that by installing an extension called Google Meet Enhanced Suite. This extension is a one-stop destination for many features on the Google Meet like the push to talk, dark mode, timer, PIP mode, muting other participants for you, etc along with auto disabling mic and cam and also disabling the join screen.","https://techwiser.com/how-to-auto-mute-and-turn-off-video-on-google-meet/#:~:text=To%20turn%20off%20the%20mic,yourself%20by%20starting%20a%20meet."
89,How to automatically turn of my camera in Google Meet,I don't want to turn my camera on in Google Meet,"As soon as you run the Google Meet app, your camera will turn on and you’ll likely see yourself. If you want to make sure that your camera isn’t recording, tap or click the camera icon in the bottom part of the screen.",https://www.alphr.com/turn-off-video-camera-google-meet/
90,Can I use a whiteboard in Google Meet,I need whiteboard in Google Meet,"In the video call at the bottom, click More options More > Whiteboard. To create a new Jamboard, click Start a new whiteboard. To open an existing Jamboard from your drive, shared drives, or computer, click Choose from Drive. ",https://support.google.com/meet/answer/10071448?hl=en
91,How to change camera settings in Google Meet,I want to change my video settings in Google Meet,"Go to https://meet.google.com/. Click Settings > Video. Choose a setting you want to change: Camera, Send resolution, or Receive Resolution.",https://support.google.com/meet/answer/9302964?co=GENIE.Platform%3DDesktop&hl=en&oco=1
92,How to turn on Google Meet notifications,I want to receive notifications from Google Meet,"On your computer, open Chrome. At the top right, click More > Settings. Under Privacy and security, click Site settings. Click Notifications. Select the Meet entry and click More > Allow.",https://support.google.com/a/users/answer/9848954?hl=en
93,Why my video quality is bad in Google Meet,I want to improve my video quality in Google Meet,"Poor video quality can be due to network issues or insufficient lighting in the room. To identify the problem: Make sure that the sender and receiver devices have enough CPU power and memory; Narrow down the issue as much as possible, such as to a location or network segment; Identify if the issue is on the sender or receiver side; Reduce bandwidth usage by setting the default for video quality.",https://support.google.com/a/answer/7582554?hl=en#zippy=%2Cusers-experience-poor-video-quality
94,How to mute background noise on Google Meet,I don't want background noise in Google Meet,"If before a video call: go to meet.google.com and select a video call. Before you join, click More > Settings > Audio. Turn on Noise cancellation > Join now. If during a video call: click More > Setitngs > Audio, and turn on Noise cancellation.",https://support.google.com/meet/answer/9919960?co=GENIE.Platform%3DDesktop&hl=en
95,How to save a Google Meet chat,I want to save the chat in Google Meet,You can't save chat. If the teacher is recording the meeting then chat will be saved.,https://support.google.com/meet/thread/59519526/how-can-we-record-or-save-chats-in-google-meet?hl=en
96,How to see participants list in Google Meet,I want to see who attend the Google Meet meeting,"You have to enable attendance tracking by 2 ways: during a meeting or with Google Calendar. First way: click Menu (three vertical dots) > Settings > Host Controls, then Enable Attendance tracking. Second way: create a new event > Add Google Meet video conferencing or click an existing meeting > Edit event. Click Change conference Settings. Check the box next to ""Attendance tracking"" > Save. Finish setting up your event if you just create one. You will receive a report through email after the meeting.",https://support.google.com/meet/answer/10090454?hl=en
97,Is there a Google Meet app on desktop,I want to download Google Meet,Google Meet only have mobile apps.,https://support.google.com/meet/answer/7291339?hl=en&ref_topic=7306097
98,Is Google Meet free,Do I have to pay for Google Meet,"Yes, but you won't have these features: dial-in phone numbers, meeting recording saved to Google Drive, hand raise, polls and Q&A, breakout rooms, attendance reports, intelligent noise cancellation, and live streaming in-domain.",https://apps.google.com/intl/en/meet/pricing/
99,Are there Google Meet discounts,Can I have discounts for Google Meet,"Yes, if your organization is non-profit, you can use Google Workspace for free. ",https://www.google.com/nonprofits/offerings/workspace/
