n,query,,answer,source,
80,How do I know if my computer's security has been compromised?,,"Run antivirus software. To learn how to install antivirus software, ask ""How do I install antivirus software?""",,
81,How can I tell if a business is legitimate?,,Check the Better Business Bureau at https://www.bbb.org/ to see reviews and complaints for businesses before revealing credit card information or personal information.,,
82,Should I install software from an unknown location?,,"If you have antivirus software enabled, the software should be scanned automatically. If there are any issues found, delete the program and run your antivirus software to remove any malware that may have infected your computer. For more information, ask ""How do I remove a virus from my computer?""",,
83,How do I know if an email is safe to open?,,"Check the sender and make sure that you know who sent the email. If you do not trust the source of the email, do not open any attachments or click on any links. For more information on how to determine if an email is safe to open, visit https://www.cose.org/en/Mind-Your-Business/Operations/Is-This-Email-OK-to-Open-9-Warning-Signs-to-Watch.",,
84,What file extensions could indicate a virus?,,"Never run files with any type of executable extension on it, or at least use extreme caution. These file types can contain malware and viruses in their coding. Watch for the following file extensions: .ade  .adp  .asf  .bas  .bat  .chm  .cmd  .com  .cpl  .crt  .exe  .hlp  .hta  .inf  .ins  .isp  .jar  .js  .jse  .lnk  .mdb  .mde  .mov  .msc  .msi  .msp  .mst  .pcd  .pif  .psc1  .reg  .scr  .sct  .shs  .swf  .url  .vb  .vbe  .vbs  .wsc  .wsf  .wsh",https://www.support.com/blog/how-to-tell-if-email-attachments-are-safe-or-a-virus-13386,
85,Is it safe to use public Wi-Fi?,,"Exercise caution when using public Wi-Fi. Most network traffic is encrypted, but to be safe, refrain from making bank transactions or using accessing any confidential information on public networks. If this is unavoidable, you can take steps to secure your device by doing the following: enable two-factor authentication, use a VPN, and encrypt your device.",,
86,Are all websites encrypted?,,"A recent study by researchers in Italy and Austria found that about 5.5 percent of the top 10,000 websites secured by HTTPS had TLS security flaws that could make them vulnerable to man-in-the-middle attacks or allow an attacker to at least partly decrypt them.","https://www.consumerreports.org/digital-security/is-using-public-wifi-still-a-bad-idea/#:~:text=It%20depends%2C%20security%20experts%20say,safer%20but%20not%20risk%2Dfree.&text=Security%20experts%20have%20long%20advised,the%20risk%20of%20being%20hacked.&text=Most%20sensitive%20data%20is%20now%20sent%20through%20encrypted%20channels.",
87,How do I check my current antivirus software?,,"Select Start > Settings > Update & Security > Windows Security and then Virus & threat protection. Open Windows Security settings.
Apple:
Mac computers have built-in antivirus and malware scanning software.",https://support.microsoft.com/en-us/windows/stay-protected-with-windows-security-2ae0363d-0ada-c064-8b56-6a39afb6a963,
88,How do I update my operating system?,,"Select Start > Settings > Update & Security > Windows Update.
Apple:
Choose System Preferences from the Apple menu, then click Software Update to check for updates.","https://support.microsoft.com/en-us/windows/update-windows-10-3c5ae7fc-9fb6-9af1-1984-b5e0412c556a, https://support.apple.com/en-us/HT201541",
89,Are apps downloaded from an official app store safe?,,"Microsoft verifies that apps in the store are safe and adhere to privacy, content, and security standards.
Apple:
Apple provides layers of protection to help ensure that apps are free of known malware and haven’t been tampered with.","https://support.apple.com/guide/security/app-security-overview-sec35dd877d0/web, https://community.windows.com/en-us/stories/get-the-apps-you-need-in-microsoft-store",
90,Is my data really gone when I delete it?,,"A deleted file still exists on the hard drive and could easily be retrieved with recovery software. So, just because you can’t see a file in the directory after it’s been deleted doesn’t mean that it’s not there. This is a security issue most computer users do not take seriously until it’s too late. To permanently delete your data, use eraser software or data shredding software.","https://us.norton.com/internetsecurity-privacy-is-personal-data-really-gone-when-it-is-deleted.html#:~:text=The%20file%20still%20exists%20on,seriously%20until%20it's%20too%20late.",
91,When should I wipe my hard drive?,,"If you are doing the any of the following: selling a computer, recycling a computer, giving a computer away, donating a computer, or cleaning out unnecessary files","https://us.norton.com/internetsecurity-privacy-is-personal-data-really-gone-when-it-is-deleted.html#:~:text=The%20file%20still%20exists%20on,seriously%20until%20it's%20too%20late.",
92,What do I do to delete my data permanently before returning a computer?,,"1. Back up the data you wish to keep
2. Use data shredding software to clear your computer
3. Perform a factory reset","https://computing.which.co.uk/hc/en-gb/articles/208270025-How-to-factory-reset-a-computer#:~:text=If%20you're%20getting%20rid,and%20profile%20setup%20all%20removed.",
93,How do I factory reset my device?,,"Click the Start menu and select the gear icon in the lower left to open up the Settings window. You can also select the Settings app from the app list. Under Settings, click Update & Security > Recovery, then select Get started under Reset this PC.
Apple:
1. Restart your computer: hold the power button > select Restart when it appears 2. While the computer restarts, hold down the ‘Command‘ and ‘R‘ keys 3. Once you see the Apple logo appear, release the ‘Command and R keys’ 4. When you see a Recovery Mode menu, select Disk Utility 5. Make sure the ‘Macintosh HD’ startup disk is highlighted in your Disk Utility window > select Erase 6. A pop-up window should appear. Change the Format to macOS Extended (Journaled) > select Erase again 7. Select Quit Disk Utility in the Disk Utilities menu. 8. A window will then appear giving you the option to reinstall macOS > select Install macOS 9. After the new macOS is installed, your computer has been successfully factory reset","https://www.gearpatrol.com/tech/a695665/factory-reset-apple-devices/, ",
94,How can I kick unauthorized users off of my accounts?,,Change your password to an application or website to forcefully sign out unauthorized users.,,
95,Is Bluetooth secure?,,"Like most technology, bluetooth has security vulnerabilities. However, these vulnerabilities are closely monitored and fixed when they arise. Be cautious and do not connect to unknown devices.",,
96,How do I secure app accounts?,,"Enable two-factor authentication, use strong passwords, and enable security questions/checks. In addition, change your password regularly to make your accounts more secure.",,
97,How do I remove a keylogger?,,The best method of detecting and removing a keylogger is by using a combination of a strong anti-keylogger and anti-rootkit software that can find and eliminate keyloggers than your antivirus or antimalware utility.,https://helpdeskgeek.com/featured-posts/hdg-explains-what-is-a-keylogger-how-do-i-remove-it-from-my-computer/,
98,Can I keep my Wi-Fi default password?,,Be sure to change your Wi-Fi network's default password as hackers will check a list of factory-default passwords when trying to break into a system.,,
99,Do I need to update my device?,,"Device updates, as long as they are from an official source, should be done regularly as they patch security issues and remove problematic bugs.",,
100,Do I need to update my antivirus software?,,"Update your antivirus software as often as possible. When new bugs are found, antivirus software definitions are updated which provides greater security protection.",,
